customer_id,question,day,create_dt
CUSTOMER000000019710,부모님이랑 함께 ,3,2024-02-22 06:38:52.766
CUSTOMER000000024787,,6,2024-02-22 08:30:25.527
CUSTOMER000000024714,,3,2024-02-22 11:20:35.227
CUSTOMER000000024789,아이랑,4,2024-02-22 12:09:43.215
CUSTOMER000000024790,,3,2024-02-22 12:41:24.001
CUSTOMER000000023196,,2,2024-02-22 14:59:35.936
CUSTOMER000000022952,,3,2024-02-22 15:58:21.451
CUSTOMER000000024213,할머니와 가족,4,2024-02-22 16:08:16.055
CUSTOMER000000024796,3박4일 부모님 여핼,4,2024-02-22 18:38:18.359
CUSTOMER000000024796,3박4일 섬 시계방향 투어 부모님 여행,4,2024-02-22 18:45:16.684
CUSTOMER000000024796,3박4일 부모님 여행,4,2024-02-22 18:51:16.261
CUSTOMER000000024797,아이,3,2024-02-22 19:05:09.345
CUSTOMER000000024756,수목원, 식물원,3,2024-02-22 23:02:58.07
CUSTOMER000000024756,동쪽,3,2024-02-22 23:07:55.344
CUSTOMER000000024799,대학생 딸이랑,3,2024-02-22 23:37:59.636
CUSTOMER000000024800,,7,2024-02-23 01:09:24.642
CUSTOMER000000024597,시내,2,2024-02-23 01:55:14.644
CUSTOMER000000024597,이도2동부터 한라산과 마라도,3,2024-02-23 01:56:01.067
CUSTOMER000000024597,이도2동부터 한라산과 마라도 마지막날 이른 아침 서울로 출발,3,2024-02-23 01:57:04.723
CUSTOMER000000024801,연인과 함께할수 있는,3,2024-02-23 08:42:23.962
CUSTOMER000000024802,커플여행,3,2024-02-23 08:52:09.836
CUSTOMER000000024803,,2,2024-02-23 09:32:10.269
CUSTOMER000000024804,데이트,4,2024-02-23 12:07:11.573
CUSTOMER000000024807,여자 혼자 1박 2일,2,2024-02-23 15:33:58.752
CUSTOMER000000024808,친구,3,2024-02-23 16:26:05.654
CUSTOMER000000024808,서쪽친구여행,3,2024-02-23 16:26:33.607
CUSTOMER000000024810,,4,2024-02-23 17:29:50.501
CUSTOMER000000024625,자매와함께,3,2024-02-23 20:05:40.635
CUSTOMER000000024796,3박4일 중년부부여행,4,2024-02-24 00:40:30.282
CUSTOMER000000024796,3박4일 제주항으로 도착한 부모님야행,4,2024-02-24 00:41:13.684
CUSTOMER000000024796,제주항에서 시작하는 부모님여행,4,2024-02-24 00:43:11.36
CUSTOMER000000024819,친구와 함께하는,2,2024-02-24 04:23:37.708
CUSTOMER000000024647,가족과 함께 하는,6,2024-02-24 07:42:59.568
CUSTOMER000000023029,,3,2024-02-24 12:26:20.146
CUSTOMER000000023029,,3,2024-02-24 12:27:07.272
CUSTOMER000000024802,서귀포,1,2024-02-24 14:13:40.479
CUSTOMER000000023375,5박6일,9,2024-02-24 14:22:03.366
CUSTOMER000000024821,아냉ㅡㅏ 함께 ,3,2024-02-24 19:47:47.347
CUSTOMER000000024825,,4,2024-02-24 22:02:27.442
CUSTOMER000000024647,가족과 함께 하는,6,2024-02-24 22:14:06.84
CUSTOMER000000024647,가족과 함께 하는,6,2024-02-24 22:15:29.718
CUSTOMER000000024829,,4,2024-02-25 09:19:06.743
CUSTOMER000000018754,남자들 끼리 ,3,2024-02-25 09:41:51.655
CUSTOMER000000024646,배우자,3,2024-02-25 10:04:23.605
